Product ID,Product Name,Category,Price,Stock,Supplier
P001,ノートパソコン,Electronics,89800,15,Tech Solutions Inc.
P002,ワイヤレスマウス,Electronics,2980,120,Gadget World
P003,ビジネスバッグ,Fashion,12800,45,Style Company
P004,コーヒーメーカー,Appliances,15900,8,Home Tech Ltd.
P005,Bluetoothスピーカー,Electronics,6780,32,Audio Experts
P006,デスクライト,Furniture,8900,25,Bright Light Co.
P007,プログラミング本,Books,3200,67,Knowledge Press
P008,エルゴノミクスチェア,Furniture,45600,12,Comfort Seating
P009,スマートウォッチ,Electronics,24800,28,Wearable Tech
P010,植物,Plants,1200,89,Green Life
